id,judge_grade,judge_reason,votes
q001,y,"All factual claims about altitude deviations, airspeed changes, autopilot behavior, control issues, injuries, weather information failures, and flight levels are directly supported by specific details in the source chunks.",y:3
q002,y,"All factual claims in the answer are supported by the source chunks, including specific details about frequency congestion, combined frequencies at EWR, lack of response at OGG, unprofessional tone at JFK, vectoring issues, wake turbulence spacing denial, and the SFO runway clearance confusion.","y:2,partial:1"
q003,y,"All factual claims about the two incidents (FL350 with single pack MEL, right bleed off messages, cabin altitude climbing, descent requests, FL330 with right pack deferred, pressurization issues at cruise, stabilization at lower altitudes) are directly supported by the source chunks.",y:3
q004,partial,"The answer states 'knocked off autopilot and auto throttles, caused continuous rudder input warnings, and resulted in Flight Director 1 failure and weather radar loss' as a single causal sequence from the lightning strike, but the source shows weather radar loss occurred separately ('we lost our weather RADAR capability as a result') in a different incident chunk than the autopilot/FD1 failure incident.",partial:3
q005,partial,"The answer states 'ATC then instructed them to descend to 5,000ft, creating a situation where the altitude change (descent) was complicated by the traffic conflict,' but the chunk shows the crew was already descending in response to the RA before ATC gave the 5,000ft instruction, so ATC's instruction did not create or complicate the descent situation.",partial:3
q006,y,"All factual claims in the answer are supported by the source chunks, including specific actions like disconnecting autopilot, pitch adjustments, speed brake deployment, power changes, upset recovery maneuvers, ATC communications, cabin safety measures, and post-event debriefings.",y:3
q007,y,"All factual claims about injuries, incident details, and the quoted recommendation are directly supported by the source chunks.",y:3
q008,y,"All factual claims in the answer are supported by the source chunks, including specific RA instructions, altitude limitations, equipment issues, and the non-equipped VFR aircraft scenario.",y:3
q009,y,"Every factual claim in the answer is directly supported by the corresponding source chunks, including specific details about each maintenance deferral case, the quoted crew statements, and the operational consequences described.",y:3
q010,y,"All factual claims in the answer are directly supported by the third source chunk describing the MSY to ZZZ flight, including the proactive planning details, immediate actions during encounter (instructing flight attendants to take seats, losing 500 feet, 3-5 seconds duration), post-encounter actions (debriefing, lessons learned quote), and corrective actions from the fourth chunk.",y:3
q011,y,"All factual claims are supported by the source chunks: the Victor loop/Taxiway E hold short event matches chunk 6 verbatim, the go-around due to tug driver crossing 26R matches chunk 9, and the caveat about terminology is appropriate.",y:3
q012,y,"All factual claims about go-around causes are directly supported by the source chunks, including the correct caveat that item 5 was continued to landing rather than being an actual go-around.",y:3
q013,partial,"The answer claims 'Ground crew overshooting designated push lines, getting too close to other traffic' as a pushback problem, but the chunk shows the ramp controller (not the crew) reported this issue, and it's unclear if this was a ground crew error or a result of the already-deteriorating communication situation described in that same incident.",partial:3
q014,y,"Every factual claim in the answer is directly supported by the corresponding source chunks, with accurate quotes and paraphrasing throughout.",y:3
q015,y,"All factual claims in the answer are directly supported by the source chunks, including operational issues, equipment problems, personnel challenges, technical/weather difficulties, and safety consequences with appropriate caveats about uncertain causality.",y:3
q016,y,"All factual claims in the answer are directly supported by the source chunks, including the quoted text, the uncertainty expressed by crews, and the accurate characterization that neither report definitively confirms laser illumination.",y:3
q017,y,"The answer clearly states 'June 2025' in the opening line and explicitly notes 'June 2025 only' in the source line, making the limited scope transparent before and after presenting the statistics.",y:3
q018,y,"The answer correctly refuses to answer based on the source chunks, which contain aviation safety reports unrelated to Hartsfield-Jackson passenger statistics for 2025.",y:3
q019,y,The answer correctly refuses to provide information about FAA pilot retirement age regulations because the source chunks contain only aviation safety incident reports with no mention of such regulations.,y:3
q020,y,"The answer correctly refuses to answer because the source chunks do not contain airline names, 2025 dates, or ASRS report statistics, which is accurate.",y:3
